IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Stray,2011,November,,Infant - Younger than 6 months,MALE,false,PUPPY,BROWN,2012,Other
Stray,2011,May,BOXER - MIX,,MALE,false,LARGE,WHITE,2011,Euthanized
Stray,2011,November,,Youth - Younger than 1 year,MALE,false,PUPPY,GRAY,2011,Euthanized
Owner Surrender,2011,March,,Older than 1 year,FEMALE,true,LARGE,GRAY TABBY,2011,Home
Stray,2012,September,,Older than 7 years,MALE,true,LARGE,BLACK,2012,Home
Owner Surrender,2011,January,,Youth - Younger than 1 year,MALE,false,MED,ORG TABBY,2011,Other
Stray,2011,May,POINTER - MIX,Infant - Younger than 6 months,FEMALE,false,MED,TAN,2011,Other
Stray,2011,September,,,FEMALE,false,KITTN,TORTIE,2011,Euthanized
Stray,2011,March,,Older than 7 years,MALE,true,MED,TRICOLOR,2011,Home
Stray,2011,June,PIT BULL - MIX,,FEMALE,false,PUPPY,BROWN,2011,Euthanized
Owner Surrender,2011,July,LABRADOR RETR - MIX,,MALE,true,LARGE,BLACK,2011,Euthanized
Stray,2012,January,,Youth - Younger than 1 year,MALE,false,PUPPY,BROWN,2012,Other
Stray,2012,July,GERM SHEPHERD - CHOW CHOW,Older than 1 year,FEMALE,false,MED,RED,2012,Euthanized
Stray,2012,May,,Infant - Younger than 6 months,MALE,false,KITTN,BLACK,2012,Euthanized
Stray,2012,June,,Older than 1 year,MALE,true,SMALL,BLACK,2012,Other
Stray,2011,December,,Older than 7 years,MALE,false,TOY,WHITE,2012,Other
Owner Surrender,2011,January,ANATOL SHEPHERD - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,TAN,2011,Home
Stray,2011,October,,Older than 1 year,FEMALE,false,LARGE,BLACK,2011,Euthanized
Reported Lost by Public,2012,August,,,MALE,false,LARGE,UNKNOWN,2012,Other
Owner Surrender,2011,May,DOMESTIC SH - BENGAL,Infant - Younger than 6 months,MALE,false,KITTN,BRN TABBY,2011,Other
Stray,2011,August,,,UNKNOWN,false,KITTN,BLACK,2011,Euthanized
Stray,2011,January,,Older than 1 year,MALE,true,PUPPY,BROWN,2011,Home
Stray,2011,August,,,MALE,true,LARGE,BLACK,2011,Euthanized
Owner Surrender,2011,April,,Infant - Younger than 6 months,MALE,false,MED,BLACK,2011,Euthanized
Stray,2012,September,,Older than 1 year,FEMALE,true,LARGE,YELLOW,2012,Other
Owner Surrender,2011,April,MANX - DOMESTIC SH,Older than 1 year,FEMALE,true,MED,BLACK,2011,Euthanized
Stray,2011,September,,,UNKNOWN,false,LARGE,GRAY,2011,Euthanized
Stray,2012,February,,Older than 1 year,FEMALE,false,LARGE,BROWN,2012,Euthanized
Impound,2011,December,,,FEMALE,false,LARGE,CHOCOLATE,2011,Other
Stray,2011,July,,Infant - Younger than 6 months,MALE,true,SMALL,BROWN,2011,Home
