IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Owner Surrender,2012,June,,Older than 7 years,MALE,false,SMALL,BROWN,2012
Stray,2012,January,,,MALE,false,LARGE,GRAY,2012
Stray,2011,March,,,MALE,true,LARGE,BROWN,2011
Owner Surrender,2012,September,,Older than 7 years,FEMALE,true,SMALL,BROWN,2012
Stray,2011,April,GERM SHEPHERD - MIX,Infant - Younger than 6 months,MALE,false,PUPPY,BLACK,2011
Stray,2012,May,,Older than 1 year,MALE,true,SMALL,TAN,2012
Foster Return,2011,September,GERM SHEPHERD - MIX,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,2011
Impound,2011,May,,,MALE,true,LARGE,APRICOT,2011
Stray,2011,March,,,UNKNOWN,false,KITTN,BLACK,2011
Owner Surrender,2012,May,SCHNAUZER MIN - MIX,Older than 1 year,FEMALE,false,SMALL,TRICOLOR,2012
Owner Surrender,2012,January,LABRADOR RETR - PIT BULL,Older than 1 year,MALE,true,LARGE,BLACK,2012
Stray,2011,June,,Older than 1 year,MALE,true,LARGE,FLAME PT,2011
Stray,2011,June,,Older than 1 year,FEMALE,false,SMALL,BLACK,2011
Stray,2011,July,BEAGLE - PUG,Older than 1 year,MALE,true,SMALL,BROWN,2011
Stray,2011,December,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2012
Stray,2011,August,,,UNKNOWN,false,KITTN,GRAY TABBY,2011
Stray,2011,September,,,MALE,false,KITTN,BLK TABBY,2011
Stray,2011,July,,,UNKNOWN,false,KITTN,GRAY,2011
Owner Surrender,2011,March,,Older than 7 years,MALE,false,X-LRG,WHITE,2011
Out Patient Spay or Neuter,2011,May,,Older than 1 year,MALE,true,LARGE,BLACK,2011
Owner Surrender,2011,June,BEAGLE - MIX,Older than 7 years,MALE,true,MED,BROWN,2011
Out Patient Spay or Neuter,2011,February,,Older than 1 year,FEMALE,true,SMALL,GRAY,2011
Owner Surrender,2011,November,,,MALE,true,MED,BLACK,2011
Stray,2011,April,,Older than 1 year,MALE,true,LARGE,TRICOLOR,2011
Stray,2012,July,LABRADOR RETR - ROTTWEILER,Older than 1 year,MALE,false,LARGE,BLACK,2012
Stray,2012,May,,Infant - Younger than 6 months,MALE,true,KITTN,ORG TABBY,2012
Stray,2011,January,,,UNKNOWN,false,SMALL,BRN TABBY,2011
Stray,2012,January,,Infant - Younger than 6 months,MALE,false,KITTN,BUFF,2012
Stray,2012,September,,Older than 1 year,FEMALE,false,SMALL,BLACK,2012
Stray,2012,July,,Infant - Younger than 6 months,FEMALE,true,KITTN,BRN TABBY,2012
Stray,2012,August,,Older than 1 year,FEMALE,false,SMALL,WHITE,2012
Stray,2012,April,SCHNAUZER MIN - BRUSS GRIFFON,Older than 1 year,FEMALE,true,SMALL,BLACK,2012
Owner Surrender,2012,July,,Older than 1 year,MALE,false,MED,ORG TABBY,2012
Stray,2011,February,,,MALE,false,LARGE,BL BRINDLE,2011
Owner Surrender,2012,July,BORDER COLLIE - GERM SHEPHERD,Older than 1 year,FEMALE,true,MED,BLACK,2012
Stray,2012,March,,Older than 1 year,FEMALE,true,LARGE,GRAY TIGER,2012
Stray,2012,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,SEAL PT,2012
Owner Surrender,2012,May,,Older than 1 year,FEMALE,true,MED,BLACK,2012
Stray,2011,October,,,MALE,false,SMALL,WHITE,2011
Owner Surrender,2011,September,,Older than 7 years,MALE,true,LARGE,TRICOLOR,2011
Stray,2011,April,,,MALE,false,MED,BROWN,2011
Stray,2011,May,BEAGLE - MIX,Infant - Younger than 6 months,MALE,true,SMALL,WHITE,2011
Stray,2011,June,,,UNKNOWN,false,KITTN,GRAY TABBY,2011
Owner Surrender,2011,July,,,UNKNOWN,false,MED,BLACK,2011
Impound,2011,April,PIT BULL - DALMATIAN,Older than 1 year,MALE,false,MED,WHITE,2011
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2011
Stray,2011,April,,Older than 1 year,MALE,true,LARGE,GRAY,2011
Owner Surrender,2011,June,,Youth - Younger than 1 year,MALE,false,MED,WHITE,2011
Stray,2012,July,,Infant - Younger than 6 months,FEMALE,false,PUPPY,BLACK,2012
Stray,2012,August,,Older than 1 year,FEMALE,false,MED,BLACK,2012
Stray,2012,July,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,CALICO,2012
Foster Return,2012,May,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2012
Stray,2012,February,,,FEMALE,false,MED,WHITE,2012
Stray,2011,March,,,MALE,true,X-LRG,BR BRINDLE,2011
Stray,2011,October,,,MALE,true,MED,BRN TABBY,2011
Stray,2012,March,,Older than 1 year,MALE,true,MED,RED,2012
Stray,2011,June,DOMESTIC SH - DOMESTIC SH,,FEMALE,false,MED,BRN TABBY,2011
Owner Surrender,2012,March,,Older than 7 years,FEMALE,true,LARGE,CHOCOLATE,2012
Stray,2011,September,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,2011
Foster Return,2011,November,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY TABBY,2011
Owner Surrender,2012,August,MIN PINSCHER - DACHSHUND,Older than 1 year,FEMALE,true,SMALL,BLACK,2012
Stray,2012,January,BEAGLE - WELSH CORGI CAR,Older than 1 year,MALE,true,SMALL,TRICOLOR,2012
Owner Surrender,2011,July,,Older than 1 year,FEMALE,true,LARGE,BRN TABBY,2011
Stray,2012,July,BEAGLE - MIX,Older than 1 year,FEMALE,false,MED,GOLD,2012
Owner Surrender,2011,August,SIBERIAN HUSKY - BEAGLE,Older than 1 year,MALE,true,MED,BROWN,2011
Owner Surrender,2011,July,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,2011
Stray,2012,March,,Older than 7 years,FEMALE,true,LARGE,YELLOW,2012
Owner Surrender,2011,January,,Older than 7 years,FEMALE,false,SMALL,TRICOLOR,2011
Owner Surrender,2011,January,,,MALE,true,MED,BROWN,2011
Foster Return,2012,March,,Youth - Younger than 1 year,FEMALE,true,SMALL,GRAY TABBY,2012
Stray,2012,January,GREYHOUND - MIX,,FEMALE,false,MED,BROWN,2012
Stray,2012,March,,Older than 1 year,MALE,false,LARGE,ORG TABBY,2012
Stray,2011,May,,,UNKNOWN,false,MED,BLACK,2011
Stray,2011,December,,Infant - Younger than 6 months,FEMALE,false,TOY,TAN,2011
Stray,2011,May,,Older than 1 year,MALE,true,MED,GRAY,2011
Stray,2011,June,GERM SHEPHERD - MIX,Older than 1 year,MALE,true,LARGE,BLACK,2011
Stray,2011,May,,,UNKNOWN,false,KITTN,BLACK,2011
Stray,2012,January,,Older than 1 year,MALE,false,MED,GRAY,2012
Stray,2011,October,LABRADOR RETR - MIX,Older than 1 year,MALE,true,MED,BLACK,2011
Stray,2011,February,LABRADOR RETR - MIX,Older than 1 year,MALE,true,MED,YELLOW,2011
Stray,2012,September,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY TABBY,2012
Stray,2011,September,,Older than 7 years,FEMALE,true,LARGE,BROWN,2011
Owner Surrender,2011,July,,,FEMALE,false,SMALL,WHITE,2011
Stray,2011,August,,,FEMALE,false,MED,BRN TABBY,2011
Stray,2012,March,COCKER SPAN - MIX,Older than 7 years,FEMALE,true,MED,BLACK,2012
Owner Surrender,2011,April,MIN PINSCHER - ITAL GREYHOUND,Older than 1 year,MALE,true,SMALL,BROWN,2011
Stray,2011,October,,,FEMALE,true,MED,BRN TABBY,2011
Stray,2012,July,,Youth - Younger than 1 year,FEMALE,false,KITTN,SLVR TABBY,2012
Owner Surrender,2011,August,,Older than 7 years,FEMALE,true,SMALL,BRN TABBY,2011
Stray,2011,July,,,UNKNOWN,false,SMALL,ORANGE,2011
Stray,2011,December,,Older than 1 year,MALE,true,MED,BLACK,2011
Stray,2011,January,,,FEMALE,false,MED,CALICO,2011
Owner Surrender,2011,October,,,MALE,false,X-LRG,BRN TABBY,2011
Stray,2011,May,,Youth - Younger than 1 year,FEMALE,false,PUPPY,BLUE,2011
